F0_M,F0_D,F1_M,F1_D,F2_M,F2_D,F3_M,F3_D,F4_M,F4_D,MFCC_M1,MFCC_D1,MFCC_M2,MFCC_D2,MFCC_M3,MFCC_D3,MFCC_M4,MFCC_D4,MFCC_M5,MFCC_D5,MFCC_M6,MFCC_D6,MFCC_M7,MFCC_D7,MFCC_M8,MFCC_D8,MFCC_M9,MFCC_D9,MFCC_M10,MFCC_D10,MFCC_M11,MFCC_D11,MFCC_M12,MFCC_D12,EMOTION
222.8066493615978,345.67617545342597,718.7195861642159,71090.76162416014,1777.1930309107113,128347.28041823771,2887.540142199097,175051.83211322554,4125.8897294728795,242997.12378981305,113.1012932743757,6532.309007886208,-16.8167346207891,3364.643049055344,-11.101224577217844,1625.630088592402,-19.6551402113757,1567.0927811012857,-12.676483345759983,905.2219923532195,-41.88418808934841,745.6592527470023,-9.133228667226033,703.3525968214119,-34.265457226855226,620.2711578946094,-6.978975275474921,863.5670963733025,-29.130270236784998,373.4280852543303,-7.751436017599157,360.89170571121883,-18.69731282897086,282.9022138739036,N
167.59259833741888,4855.718292867481,790.397390593023,155957.87724738417,1758.208521562868,197911.05336317353,3036.7968753949926,235570.75689724452,4130.814382903705,229967.33852831504,109.65335310926179,8537.607971977992,-1.323325069211348,1789.191076934382,-7.186510883329764,1746.0026284653563,-12.877229226189336,1271.1782110347597,-4.7889723780180775,1381.762592483581,-54.42801533306188,1326.833598367112,-24.09595557877203,673.7734999450051,-21.156735001753614,282.1273651590449,6.233804056161897,423.89171657119255,-27.844113973693897,526.978725326457,-11.578690119078907,432.99031245830156,-8.34029862924988,161.4439129877028,S
217.12858617127608,2059.7603157787016,727.4338245642034,50990.489435026924,1549.5626029076936,147239.704194074,2853.2404669677044,173155.95373539478,3960.6078154113925,107157.64021127236,114.3421629792333,2630.220529338069,-30.015947717856807,3192.420861960154,-49.255370758865034,2837.1754284633257,-50.27238761462211,3328.9183804808176,-4.246037758430474,1171.231725008291,-32.3530752825752,688.2317910820758,-23.48857667869755,738.2388130839822,-34.78022940296425,685.8296270537205,-12.487057406866874,440.1751987439045,-20.56113285814683,299.69725861153216,4.50694247613366,436.731690155769,0.353068158524256,533.2918649770334,A
213.15202782417023,2393.862589685789,739.3614691563434,59723.85487443935,1440.6906857724805,137554.84799116288,2909.0927667178075,105959.08909800417,4021.8983132673984,294685.2463965794,140.39288016912175,4359.220693697353,-14.054521397183546,2836.048621519923,-44.21344330591783,2447.311546813296,-42.17184339509208,2404.4713029217223,7.0211941022711954,1025.198619264436,-21.940614252675292,1033.7713708321564,-16.621598605872403,372.7360683284185,-45.07625888348767,568.628023609921,9.2824801244583,198.88559674232954,-27.403602811325424,267.69042706397875,-2.961949720221327,358.6663610794007,-14.93131790721569,286.0816774293738,B
160.09310724096312,4833.409102167465,732.1592824540347,49802.44809982479,1481.0112573342074,154476.1535801569,2932.7003390780205,45787.41996009166,3929.3354064811406,70766.55671613872,123.90202281760797,3040.7104252469053,3.070367210245334,3469.013781282174,-37.38035826640976,1577.8358844370046,-40.40603346217675,1683.937866511803,19.47324197056066,701.776991015578,-15.616426577780237,483.6020514305733,-11.771901846089197,459.72642804949425,-46.46760874666702,567.8033096078102,16.660712936688345,435.7248431761821,-32.6071213429731,373.8153855479985,-3.18388341259211,283.32560424047676,-14.983366547491412,184.09974052643395,B
174.96640209559345,4783.092279148916,687.0440091920542,40318.43493433455,1460.4922535084297,182453.46316024466,2950.2088283781563,59118.717013594396,3986.8739430894134,94079.59641294795,145.7999751930172,4693.51806968454,8.79658864440995,2507.678903176033,-45.45852502652198,2309.9276977580944,-50.08972882462931,2150.8127531094347,5.102540643201049,735.6435774470758,-13.194464891184296,488.43280836026054,-17.25289681142942,467.2370311331918,-37.85746548433418,495.344871830988,3.402321873278623,336.39492583476425,-25.25915563413486,322.860142281795,-6.824970948875312,273.40117990040983,-16.380503046753628,191.67858154277073,B
190.07619920823538,2743.9891135506373,667.3004130713014,51296.19694654537,1317.803953681495,98010.38211550757,2932.9858300691153,32414.738438431672,3839.9576151510105,63560.69381032615,163.51256228861328,3000.9517922458476,-9.35176990027534,3410.0083590341146,-45.869049453611176,1560.7315281750834,-62.835161586460295,1755.80962501031,11.07122252025338,578.1651136683969,-17.53416256384258,537.1687373372332,-28.87115763949699,421.41129185629535,-48.041358353813884,537.3395886236191,6.133599654393885,414.3245632800181,-35.90347848231004,258.0165916411005,-10.327110658286333,224.05283840939046,-18.006615831013892,184.27038902927248,B
205.9489139793398,4133.763640518278,823.4175649949905,48384.1815950019,1667.0194075965026,158280.69055187047,3056.48318806084,119462.8611702207,3983.050997456209,101147.6714952627,124.58387226686513,4592.178455324483,-30.6477934811336,4929.691997042552,-20.002029916594537,1589.3682393025776,-50.11724401807165,2637.1905927562334,6.725792231506373,734.5544449206544,-20.54390912455036,849.6919062859549,-21.611563100501936,834.3651603599892,-26.14219196159217,415.86281382449766,-2.587418794655428,344.76362002320093,-25.8616566138669,412.55234926415875,2.6855629825734084,519.5500438184073,-16.610414085265482,356.8290249279792,N
208.5361346831906,1781.9436960025826,881.0945947563403,61701.98523280797,1712.9559704912913,132827.15085569437,3093.137625465847,92553.77678469884,4030.088235423471,95055.3104480224,117.59383188579595,6690.40569627501,-17.44934481665046,3722.755467671554,-4.692349746333962,1289.4645295362009,-27.367696764617932,2314.8086191539237,13.98402348077488,789.0968562670591,-15.081123296932747,385.8314674343315,-16.030726504666546,895.7280398708665,-15.671322400552027,466.06875197899234,-1.2093864489330386,305.9637297806889,-23.823962733106416,459.5159599762076,0.9602979602186201,459.9130158171169,-15.715673273701912,349.12934084558304,N
210.09515561411382,1656.4589309712908,882.6720488781456,70498.31590925409,1698.124212216938,149078.6247550129,3122.013023733781,95370.64816346942,4019.1446860694614,104751.68189533139,125.45534616620239,7087.947415254456,-22.087914900516317,4065.7651337834013,-7.68175577403541,1381.4850081099246,-32.67246052280073,2378.856279459526,13.138955119765974,874.2860221798649,-15.853591914824975,412.7120171737646,-19.56097405410741,907.447841734266,-17.47027661526485,482.9536154604151,-2.1166906779682915,327.93581359494726,-26.603677001087444,457.6417397053241,-0.1587391446609589,504.10153781446996,-17.41052683954675,362.9191972633988,N
