emotion,pitch_mean,pitch_stdev,f1_mean,f2_mean,f3_mean,f4_mean,f1_stdev,f2_stdev,f3_stdev,f4_stdev,mfcc_1_mean,mfcc_1_stdev,mfcc_2_mean,mfcc_2_stdev,mfcc_3_mean,mfcc_3_stdev,mfcc_4_mean,mfcc_4_stdev,mfcc_5_mean,mfcc_5_stdev,mfcc_6_mean,mfcc_6_stdev,mfcc_7_mean,mfcc_7_stdev,mfcc_8_mean,mfcc_8_stdev,mfcc_9_mean,mfcc_9_stdev,mfcc_10_mean,mfcc_10_stdev,mfcc_11_mean,mfcc_11_stdev,mfcc_12_mean,mfcc_12_stdev
F,125.57834780199967,11.319135800452718,683.4226744288306,1709.8312180042865,2880.2393662104305,3984.5009774562204,243.52079145223706,493.8844299762971,519.5570813751068,432.3044507826643,142.32225952783597,97.97661443086102,50.08805315042011,51.55780899825659,-1.7228750186223882,54.778931966733545,-8.11132869715351,35.69537432593752,3.3440284321250324,23.914509204354207,3.713533456536135,25.449066730822118,-1.4128767991855704,22.454680409155138,32.914791099242365,27.10802158221074,-9.949501212750674,22.24103391204465,9.47816227497111,13.053167806731736,-3.098360936733961,14.956078032131979,null,null
J,176.07977897922112,21.675672911507714,743.0627536298759,1276.437678718013,2666.954567731127,3821.3485691467476,263.0537038317688,392.91060997256494,688.9987971983993,692.7535763828911,324.100185133593,152.86722557168423,-13.731530602392366,74.39516750934247,-52.91323164242933,45.9963602939451,-41.0897837681576,65.44403457379637,19.846325139290407,36.6266818216431,38.64818389354575,31.75554924714242,-13.336102014088913,16.853885411718597,-34.267184278922336,28.73163969667159,-12.166966531481002,26.462978625711404,-4.03109333593025,14.009525492628027,-17.483310803545127,23.158924560157438,null,null
A,185.04097478498613,32.19119589308456,629.5330882142572,1501.2780351904544,3023.506987564807,4124.965733168504,211.95687192707973,398.0426216196165,279.30023747015804,218.0126789448752,83.3028603825603,96.9525950747811,-5.389029694238237,57.82267931828552,-50.20713027929773,35.74370321748377,-89.53918661246325,50.015022278940194,-2.0256562118387875,34.88391289796756,-44.06877459190605,33.46163266724935,-52.59778942992968,38.37850391659814,-34.79589067586461,30.05870838176684,-18.33926205893977,26.200812948272855,-8.943859339043795,25.067020139951385,-8.452208363985562,27.572858922665052,null,null
A,176.69716150511246,17.66001711970665,654.6920908711576,1511.435762901569,2954.0296737011467,4147.279281261254,219.63557160253777,327.1504233294221,268.2217383026917,293.5509901984282,84.87004891437684,104.84451310511939,-14.679659365580255,59.086807960705556,-67.58529130092307,41.90275539074327,-57.44254344122308,48.555333813007394,-11.813845860795722,35.62140408936969,-45.588268800743975,25.239386751125178,-45.69428621760136,30.85633575343845,-39.43012858403266,29.460685416898272,-8.657535949913939,20.375798494055243,-15.180960075866857,20.36237920877776,-13.28289838454882,21.65063290543352,null,null
A,181.98054413932587,18.419792274453126,713.4449667743492,1532.7564166403781,2944.2142385339184,4084.5784222524394,215.85178460903552,236.34132322542408,414.2777213550656,513.0713157049166,85.93858943513432,93.33252108200361,-61.97939474358654,74.27456043052084,-87.31681699553833,47.76343684252081,-60.70917511201904,47.679888750742464,-25.441102169818837,35.95151181726138,-55.79180339294632,27.921440766135984,-47.924186128210025,33.85049007669565,-29.774873595136217,29.115704365216363,-7.1857579872499695,19.25285049136699,-21.14200200905543,24.24008525686873,0.1401794480571291,28.284043064365367,null,null
A,205.72938273094965,18.767320020385174,757.010463018387,1615.7443107667614,2968.205292473894,3963.6457268409977,242.44273526621487,308.96657605120873,477.10781202620285,431.75700137396507,93.05869682000889,79.88866888467538,-72.75382136487393,70.84049881251191,-67.77317191136991,54.21515914941387,-60.56765901621585,61.5856730924132,-24.66942413652989,43.618639296882634,-54.92091488086677,32.8741920972311,-48.017651122377906,29.2921649997008,-18.334418577847668,26.177050759005308,-7.4906511265177524,22.566070089053543,-10.076358668790778,24.599888460398812,17.35625726601031,18.693413363922488,null,null
A,148.04896430573376,28.89242921821703,580.4447571532736,1609.3575579761748,2734.810730058315,3933.842349108207,288.78778708272176,313.04524750086705,329.38115238858353,428.8528513482222,185.8865248982273,25.839173135041435,29.720797127032505,28.761848898034714,5.581454622522041,26.304478736763176,20.068996253443824,15.427606504476708,1.636086725830008,14.615161952183547,-0.78758487203987,13.76143730909824,-10.182934604840252,10.987079421129106,-12.38634174978651,10.817940856471816,-0.6170588168544197,19.024248273708547,0.3814890760538212,15.138514888572347,11.007052603466754,19.750740697182728,null,null
J,186.96540122460075,29.477218421268812,713.7189157502343,1790.5029049792886,2973.96021501304,4059.277888925976,289.551031599837,397.2188690205643,226.7780584584652,292.6913809673405,43.806832749614294,56.84237328305581,-42.06838838053065,84.40334688933464,-8.521122173621205,40.20749033614393,-66.37521026726007,71.38844748744619,-23.032512994434814,45.85768671521786,-48.11709074366908,50.65859752252389,-21.716731137767127,32.24519932666978,-27.099633843041385,32.9519761945962,-2.3606755859490076,22.8633738801398,-6.604705523372752,17.91655513536811,-10.247865695887834,21.693725977329258,null,null
N,133.31486288499985,13.330197839620956,820.8842625320143,1897.5520417347914,2608.527161256175,3684.4095970819976,377.10028719954863,287.48778868669075,249.1186390219256,582.3976990018572,81.90781256763587,82.9198065909064,-9.602201528337629,37.803704952692954,12.748564961233653,36.932335115810375,53.6111115078753,38.563478010340496,-79.2888236387298,28.499050680073758,3.012227877648727,21.06249450971641,-21.05277101598822,24.12780059982683,-18.195780240697623,17.919088544421356,-16.92431734480119,16.313744149014557,11.403876520067895,19.398103987985408,-13.675337592255776,16.223908936055903,null,null
A,233.62091771958782,24.15339865581849,889.2871215811921,1973.1303245789502,2975.814591323865,4281.942308370739,320.66196209753406,313.51156002092694,358.3468419124383,342.82322464596666,137.94843415978858,43.866305387243834,19.68327659635852,28.020025418144968,4.5563743570288455,23.664640036087754,17.666807394159743,28.93087183594014,-0.1297868094333591,38.3920377172772,12.464242692160473,34.53830828748946,21.655382324275553,15.600983102181738,5.232379440866738,20.413105477637306,6.908396707258143,24.245551580552448,11.844622307798662,14.475734590187042,18.111500163585873,18.15094277402099,null,null
